IDX,score
624,367.2083
625,270.3553
626,374.45
627,187.9106
628,363.85
629,9.159
630,364.45
631,369.0401
632,280.65
633,187.3106
634,365.0606
635,95.0106
636,187.3
637,369.0401
638,342.55
639,365.5106
640,339.25
641,365.35
642,254.9053
643,364.1553
644,371.9
645,371.9
646,375.3553
647,375.05
648,282.7871
649,365.6712
650,368.1613
651,256.7
652,364.7659
653,364.1553
654,270.8053
655,339.25
656,187.0053
657,185.2212
658,281.7159
659,281.7159
660,281.7159
661,101.459
664,187.9106
665,187.0053
666,361.9
667,92.7053
668,254.75
669,370.5666
670,281.4106
671,365.35
672,282.9371
673,281.1053
674,281.1053
675,436.6606
676,363.5924
677,271.55
678,371.9
679,371.9
680,371.75
681,362.8
682,351.4
683,364.9
684,362.5053
685,363.1318
686,269.4606
687,361.75
688,366.2818
689,371.6106
690,365.3659
691,184.9053
692,361.9
693,361.9
694,271.55
695,190.6742
696,364.45
697,361.4
698,364.45
699,446.2
700,274.9348
701,188.5053
703,364.1553
704,342.8659
705,361.75
706,361.9
707,361.9
708,351.7053
709,363.85
710,188.5
711,188.8106
712,272.1606
713,367.503
714,364.7659
715,364.5083
716,188.8371
717,282.9371
718,187.6159
719,379.4583
720,183.8984
721,92.9
722,281.7053
723,364.1553
724,184.9053
725,94.7424
726,280.8371
727,187.9689
728,367.5348
729,188.8053
730,184.3053
731,364.45
732,186.4318
733,185.5265
735,361.9
736,361.9
737,361.9
738,361.9
739,361.9
742,367.4871
743,363.4106
744,363.85
745,363.85
746,189.1159
747,371.9
748,94.5712
749,339.4
750,187.0053
751,269
752,361.9
754,364.45
755,363.85
756,363.85
757,93.8159
758,189.4477
759,187.9212
760,364.7659
761,281.7159
762,187.7977
763,339.25
764,366.2659
765,186.1371
766,255.5159
767,364.45
768,339.25
769,184.9053
770,376.5544
771,437.55
772,96.2689
774,363.95
775,371.9
776,339.85
777,340
778,371.9
779,94.7053
780,185.0553
781,269.1553
783,361.3
784,187.5083
785,187.203
786,190.256
787,365.3659
788,187.6053
789,271.9053
790,351.4
791,362.6659
792,364.45
793,361.9
794,361.9
795,362.65
796,361.75
797,255.0553
798,371.4
799,103.2908
800,364.4606
801,188.5053
802,361.9
804,187.0053
805,355.3053
806,376.8818
807,187.3
808,271.903
809,361.9
810,184.4553
811,364.45
812,389.424
813,361.9
814,185.5
815,100.3984
816,362.5053
817,362.2
818,364.7553
819,365.35
820,364.45
821,361.9
822,87.6924
823,364.9
824,364.45
825,93.8265
826,374.45
827,364.4606
828,189.7265
829,274.0606
830,289.1984
831,187.3318
832,278.2272
833,365.2053
834,363.85
835,364.7553
836,365.35
837,363.85
838,187.6159
839,274.9818
840,122.83
841,285.7088
842,271.6659
843,365.35
844,364.45
845,190.0318
846,94.4
847,186.7
848,364.45
849,93.8159
850,361.9
851,364.45
852,361.9
853,283.0553
854,191.2848
855,273.1659
856,361.9
857,361.9
858,271.8553
859,349.3
860,371.9
861,185.65
862,186.7
863,271.8553
864,345.2977
865,255.0553
866,361.75
867,361.75
868,362.5053
869,362.2
870,361.4
871,365.9606
872,257.6053
873,253.0454
874,270.3553
875,364.1553
876,362.9553
877,283.5318
878,364.45
879,364.9
880,341.95
881,271.55
882,364.5606
883,364.4818
884,184.6
885,361.9
886,281.7
887,361.75
888,93.0106
889,187.0265
890,366.1212
891,361.75
892,362.2
893,275.9083
894,364.6318
895,362.6659
896,281.5765
897,99.2848
898,361.9
899,361.9
900,349.3
901,364.7553
902,446.65
903,446.65
904,446.65
905,364.45
906,378.7136
907,339.4
908,446.65
909,368.1242
910,189.1159
911,362.9712
912,437.55
913,199.5226
914,362.8
915,361.15
916,349.3
917,350.8371
918,361.9
919,270.05
920,361.3
921,365.703
922,188.2
923,188.2
925,272.1606
